file_name,folder_name,width,height,size_kb,file_type,mod_date,orientation,dpi_x,dpi_y,color_space,has_transparency,download_link
florence_santamariadelfiore_0001.jpg,1. santamariadelfiore,3024,4032,1557.6826171875,JPEG,2024-07-22 17:49:02,Vertical,72,72,RGB,False,https://lh3.googleusercontent.com/p/AF1QipPiTNvnXnXniehHa6MgWIt6hHNtlhEIaDYezzIy=s0
florence_santamariadelfiore_0002.jpg,1. santamariadelfiore,12000,9000,13055.1142578125,JPEG,2024-07-22 16:53:08,Horizontal,72,72,RGB,False,https://lh3.googleusercontent.com/p/AF1QipOBv4OY707Q1jUpkUW_lu4MRv75ri3B_fxG-rA=s0
florence_santamariadelfiore_0003.jpg,1. santamariadelfiore,4080,3072,3998.6142578125,JPEG,2024-07-22 17:05:28,Horizontal,72,72,RGB,False,https://lh3.googleusercontent.com/p/AF1QipPzUBFu8FJB0b88IcAfjcfUY2LhF-dcUh2jD_AI=s0
florence_santamariadelfiore_0004.jpg,1. santamariadelfiore,4000,3000,6452.2568359375,JPEG,2024-07-22 16:52:46,Horizontal,72,72,RGB,False,https://lh3.googleusercontent.com/p/AF1QipMnoCk1InHoZp1jzNezBkDYaofmJ6VZp0gS5S3C=s0
florence_santamariadelfiore_0005.jpg,1. santamariadelfiore,3000,4000,2499.755859375,JPEG,2024-07-22 16:59:48,Vertical,72,72,RGB,False,https://lh3.googleusercontent.com/p/AF1QipMy54MTEUqRhyHFUrHr-6q5Yo-V9Vmr-PpMIgnf=s0
florence_santamariadelfiore_0006.jpg,1. santamariadelfiore,3264,2448,1126.13671875,JPEG,2024-07-22 16:51:02,Horizontal,72,72,RGB,False,https://lh3.googleusercontent.com/p/AF1QipPzfZzAd-spEcONpUXEf9xxhs6KjS8OJ0aWyKYT=s0
florence_santamariadelfiore_0007.jpg,1. santamariadelfiore,4272,3680,5887.6708984375,JPEG,2024-07-22 16:50:24,Horizontal,72,72,RGB,False,https://lh3.googleusercontent.com/p/AF1QipOqePHZBXoY-xpzw7bx6Vi6h8yYHMZuDK4rY8Ip=s0
florence_santamariadelfiore_0008.jpg,1. santamariadelfiore,2448,3264,1371.8779296875,JPEG,2024-07-22 17:00:38,Vertical,72,72,RGB,False,https://lh3.googleusercontent.com/p/AF1QipMleKJnd4jRHe2FOGLdY3mR-L4oLfmomld966RJ=s0
florence_santamariadelfiore_0009.jpg,1. santamariadelfiore,2937,2213,2042.095703125,JPEG,2024-07-22 16:59:56,Horizontal,72,72,RGB,False,https://lh3.googleusercontent.com/p/AF1QipMp6K-O7hekFwcbzLsHj4qUo2KcsqC14nngmamv=s0
florence_santamariadelfiore_0010.jpg,1. santamariadelfiore,4000,3000,1853.80078125,JPEG,2024-07-22 16:50:36,Horizontal,72,72,RGB,False,https://lh3.googleusercontent.com/p/AF1QipPXe-PMltaWxTzZoQvVOsm_uCA7lKBfgFXoHQgz=s0
florence_santamariadelfiore_0011.jpg,1. santamariadelfiore,3578,4472,2664.0234375,JPEG,2024-07-22 16:50:58,Vertical,72,72,RGB,False,https://lh3.googleusercontent.com/p/AF1QipN2QKWm1E2Qv-qkgn_lBFRSZYHM29ZFSOBZwAbP=s0
florence_santamariadelfiore_0012.jpg,1. santamariadelfiore,9000,12000,13663.796875,JPEG,2024-07-22 16:52:34,Vertical,72,72,RGB,False,https://lh3.googleusercontent.com/p/AF1QipMcIZM_diI4N_CfyLvsKYC4t4YAaram_RFesHkh=s0
florence_santamariadelfiore_0013.jpg,1. santamariadelfiore,2448,3264,1739.623046875,JPEG,2024-07-22 16:50:28,Vertical,72,72,RGB,False,https://lh3.googleusercontent.com/p/AF1QipMFzvksaMEYTBlu7R55fZcXYR0Yed5Mq-o6tANe=s0
florence_santamariadelfiore_0014.jpg,1. santamariadelfiore,3024,4032,2099.4765625,JPEG,2024-07-22 17:02:02,Vertical,72,72,RGB,False,https://lh3.googleusercontent.com/p/AF1QipMyXZ9nhZPSl8kj6urBp4ZbicQgD2U3ypeSTVF0=s0
florence_santamariadelfiore_0015.jpg,1. santamariadelfiore,3024,4032,2829.3095703125,JPEG,2024-07-22 17:00:28,Vertical,72,72,RGB,False,https://lh3.googleusercontent.com/p/AF1QipNaWjMI3PHKoH6PwBU06EBrhJci2sErq_OgOD6P=s0
florence_santamariadelfiore_0016.jpg,1. santamariadelfiore,3557,3797,4723.8115234375,JPEG,2024-07-22 17:02:40,Vertical,96,96,RGB,False,https://lh3.googleusercontent.com/p/AF1QipNjANm-EBSk35eAK4-pOMuAKPKXRk-HpwoZlw45=s0
florence_santamariadelfiore_0017.jpg,1. santamariadelfiore,2250,4000,1286.1455078125,JPEG,2024-07-22 17:00:04,Vertical,72,72,RGB,False,https://lh3.googleusercontent.com/p/AF1QipNwDlb9YGrzM-LltCH6YrtXtRGNpxcdVRKxdx0w=s0
florence_santamariadelfiore_0018.jpg,1. santamariadelfiore,4624,3468,4508.2509765625,JPEG,2024-07-22 16:51:08,Horizontal,72,72,RGB,False,https://lh3.googleusercontent.com/p/AF1QipPHZp9jQpShZabRzibNGHngMcwp2on6DAFZJBsT=s0
florence_santamariadelfiore_0019.jpg,1. santamariadelfiore,4608,3456,1507.986328125,JPEG,2024-07-22 16:52:10,Horizontal,72,72,RGB,False,https://lh3.googleusercontent.com/p/AF1QipOQc_rDAuLxyczVDfUPxt-kYae8W5zlioJnAnwP=s0
florence_santamariadelfiore_0020.jpg,1. santamariadelfiore,2250,4000,2001.7216796875,JPEG,2024-07-22 17:05:46,Vertical,72,72,RGB,False,https://lh3.googleusercontent.com/p/AF1QipOEPtnrDXYI0zuJiOj8VkM5rqzThgbZA_UNBiCG=s0
florence_santamariadelfiore_0021.jpg,1. santamariadelfiore,1280,960,153.1533203125,JPEG,2024-07-22 16:52:16,Horizontal,72,72,RGB,False,https://lh3.googleusercontent.com/p/AF1QipPr-wiZfwZkkSUOprrvzvBgXXjKJF2B4jgVunHP=s0
florence_santamariadelfiore_0022.jpg,1. santamariadelfiore,4000,3000,3757.7548828125,JPEG,2024-07-22 16:58:30,Horizontal,72,72,RGB,False,https://lh3.googleusercontent.com/p/AF1QipPffthWBGDwMnCaJW6pLAGCtkalNLHGroe70LX7=s0
florence_santamariadelfiore_0023.jpg,1. santamariadelfiore,4032,3024,2389.154296875,JPEG,2024-07-22 17:01:16,Horizontal,72,72,RGB,False,https://lh3.googleusercontent.com/p/AF1QipNga2OLtyoAMYzh1UpG85MePuPBCRj-0t8jSCxn=s0
florence_santamariadelfiore_0024.jpg,1. santamariadelfiore,3024,4032,2588.98046875,JPEG,2024-07-22 17:01:38,Vertical,72,72,RGB,False,https://lh3.googleusercontent.com/p/AF1QipNBBNU_Dral-kMnnXxr38XP9pouBw2sRgWV2ifu=s0
florence_santamariadelfiore_0025.jpg,1. santamariadelfiore,3000,4000,2188.693359375,JPEG,2024-07-22 17:01:30,Vertical,72,72,RGB,False,https://lh3.googleusercontent.com/p/AF1QipOGSIMSo5b8fMZyaomxRkazzjJEJXQmSGDFpDFX=s0
florence_santamariadelfiore_0026.jpg,1. santamariadelfiore,2268,4032,3534.7841796875,JPEG,2024-07-22 17:05:36,Vertical,72,72,RGB,False,https://lh3.googleusercontent.com/p/AF1QipMlZYH2a_hft5aYvj00Z1vbuQR4PBqJVSi93vZb=s0
florence_santamariadelfiore_0027.jpg,1. santamariadelfiore,1153,978,483.4033203125,JPEG,2024-07-22 16:59:50,Horizontal,72,72,RGB,False,https://lh3.googleusercontent.com/p/AF1QipMscvY1TJyhhsw267YlVygp4NqF2Dy40yCoocaQ=s0
